date,cpi,unemp
1969-01-01,28.5524434752861,0.766666666666666
1969-04-01,28.6829192261252,0.666666666666667
1969-07-01,28.661173267652,0.6
1969-10-01,28.8133949769643,0.6
1970-01-01,29.378789897267,0.533333333333333
1970-04-01,29.6397413989451,0.566666666666667
1970-07-01,29.6832333158915,0.6
1970-10-01,29.9659307760429,0.566666666666667
1971-01-01,30.6835474056578,0.566666666666667
1971-04-01,31.1402125335946,0.7
1971-07-01,31.4011640352728,0.8
1971-10-01,31.6621155369509,0.866666666666667
1972-01-01,32.3144942911464,0.866666666666667
1972-04-01,32.6624296267172,0.966666666666667
1972-07-01,33.119094754654,1
1972-10-01,33.6409977580104,0.966666666666667
1973-01-01,34.4021063045717,0.833333333333334
1973-04-01,35.0762310172403,0.966666666666667
1973-07-01,35.4241663528112,1.1
1973-10-01,36.0982910654798,1.36666666666667
1974-01-01,36.968129404407,1.7
1974-04-01,37.5552702831829,2
1974-07-01,37.9032056187538,2.36666666666667
1974-10-01,38.4251086221101,3.03333333333333
1975-01-01,39.1427252517251,3.6
1975-04-01,39.9038337982864,4.16666666666667
1975-07-01,40.2082772169109,4.33333333333333
1975-10-01,40.5127206355354,4.23333333333333
1976-01-01,41.186845348204,4.13333333333333
1976-04-01,41.6217645176676,4.03333333333333
1976-07-01,41.7304943100336,3.9
1976-10-01,42.0131917701849,3.8
1977-01-01,42.752554358273,3.8
1977-04-01,43.2092194862098,3.96666666666667
1977-07-01,43.3396952370489,4
1977-10-01,43.470170987888,3.9
1978-01-01,44.0355659081907,3.86666666666667
1978-04-01,44.4487391191811,3.83333333333333
1978-07-01,44.426993160708,3.76666666666667
1978-10-01,44.557468911547,3.63333333333333
1979-01-01,45.3185774581084,3.53333333333333
1979-04-01,45.9057183368842,3.33333333333333
1979-07-01,46.4928592156601,3.23333333333333
1979-10-01,46.9277783851237,3.1
1980-01-01,47.8193626825241,3.06666666666667
1980-04-01,48.6239631460318,3.26666666666667
1980-07-01,48.9066606061832,3.46666666666667
1980-10-01,49.3415797756468,3.76666666666667
1981-01-01,50.5593534501449,4.13333333333333
1981-04-01,51.4509377475453,4.56666666666667
1981-07-01,52.1685543771602,5.1
1981-10-01,52.864425048302,5.76666666666667
1982-01-01,53.5385497609706,6.2
1982-04-01,54.2126744736392,6.5
1982-07-01,54.8215613108883,6.93333333333333
1982-10-01,55.3217183557714,7.56666666666667
1983-01-01,55.7131456082887,8.03333333333333
1983-04-01,55.99584306844,8.3
1983-07-01,56.5394920302695,8.2
1983-10-01,56.8221894904209,8.13333333333333
1984-01-01,57.3006005768309,8
1984-04-01,57.5832980369822,8.1
1984-07-01,57.6050439954554,8.2
1984-10-01,57.9964712479726,8.13333333333333
1985-01-01,58.6271040436949,8.2
1985-04-01,58.9098015038462,8.26666666666667
1985-07-01,58.8010717114803,8.16666666666666
1985-10-01,58.9098015038462,8.16666666666666
1986-01-01,59.0620232131585,8.1
1986-04-01,58.9098015038462,7.96666666666667
1986-07-01,58.6053580852217,7.76666666666667
1986-10-01,58.3661525420167,7.7
1987-01-01,58.757579794534,7.83333333333333
1987-04-01,58.9315474623194,7.86666666666667
1987-07-01,58.9098015038462,7.9
1987-10-01,58.9315474623194,7.93333333333333
1988-01-01,59.3229747148367,7.93333333333333
1988-04-01,59.605672174988,7.9
1988-07-01,59.6709100504075,7.76666666666667
1988-10-01,59.9318615520857,7.5
1989-01-01,60.7582079740666,7.2
1989-04-01,61.3236028943693,7.16666666666667
1989-07-01,61.3453488528424,7
1989-10-01,61.7367761053597,7
1990-01-01,62.4109008180283,6.7
1990-04-01,62.737090195126,6.53333333333333
1990-07-01,63.0197876552774,6.3
1990-10-01,63.6069285340532,6
1991-01-01,64.1849399142281,5.66666666666667
1991-04-01,64.8068870064203,5.6
1991-07-01,65.8641970631469,5.7
1991-10-01,67.1080912475312,6.2
1992-01-01,67.9788171766002,7.46666666666667
1992-04-01,68.7562510418403,7.56666666666667
1992-07-01,69.1294192971556,7.8
1992-10-01,69.3471007794228,8
1993-01-01,71.15074734678,8.3
1993-04-01,71.7726944389722,8.66666666666666
1993-07-01,72.2702521127259,9.23333333333333
1993-10-01,72.3324468219451,9.6
1994-01-01,73.2653674602333,9.7
1994-04-01,73.762925133987,9.76666666666667
1994-07-01,74.1360933893023,9.6
1994-10-01,74.1049960346926,9.33333333333334
1995-01-01,74.789137836104,9.2
1995-04-01,75.0379166729809,9.33333333333334
1995-07-01,75.2866955098577,9.5
1995-10-01,75.1934034460289,9.76666666666666
1996-01-01,75.8775452474402,10.1666666666667
1996-04-01,76.1263240843171,10.3
1996-07-01,76.3129082119748,10.4333333333333
1996-10-01,76.3440055665844,10.7
1997-01-01,77.2147314956533,11.2333333333333
1997-04-01,77.3080235594822,11.3666666666667
1997-07-01,78.0854574247223,11.6
1997-10-01,77.9610680062839,11.7333333333333
1998-01-01,78.1787494885511,11.6
1998-04-01,78.3653336162088,11.1666666666667
1998-07-01,78.5519177438664,10.8
1998-10-01,78.3031389069896,10.6666666666667
1999-01-01,78.3342362615992,10.6666666666667
1999-04-01,78.7695992261336,10.5333333333333
1999-07-01,79.0805727722297,10.5
1999-10-01,79.0494754176201,10.4
2000-01-01,79.5470330913738,10.133333333333301
2000-04-01,79.6403251552026,9.53333333333333
2000-07-01,80.168980183566,9.46666666666667
2000-10-01,80.4177590204428,9.33333333333334
2001-01-01,80.9153166941965,9.3
2001-04-01,81.6616532048271,9.26666666666667
2001-07-01,81.7860426232655,9.33333333333334
2001-10-01,81.7549452686559,9.56666666666667
2002-01-01,82.5323791338961,9.6
2002-04-01,82.7189632615537,9.66666666666666
2002-07-01,82.7811579707729,9.83333333333334
2002-10-01,82.7189632615537,10.1
2003-01-01,83.4652997721843,10.4666666666667
2003-04-01,83.3720077083554,10.6
2003-07-01,83.6518838998419,10.5333333333333
2003-10-01,83.6829812544515,10.5
2004-01-01,84.273830992034,10.3333333333333
2004-04-01,84.9268754388358,10.4666666666667
2004-07-01,85.1756542757126,10.633333333333301
2004-10-01,85.3622384033702,10.8
2005-01-01,85.6421145948567,11.8666666666667
2005-04-01,85.9841854955624,11.8666666666667
2005-07-01,86.5750352331449,11.6666666666667
2005-10-01,86.7927167154122,11.4333333333333
2006-01-01,87.1036902615082,11.4
2006-04-01,87.5701505806524,11
2006-07-01,87.8500267721388,10.5333333333333
2006-10-01,87.912221481358,10.0666666666667
2007-01-01,88.6585579919886,9.46666666666667
2007-04-01,89.3737971480095,9.1
2007-07-01,89.8402574671536,8.8
2007-10-01,90.6176913323938,8.5
2008-01-01,91.2707357791955,8.03333333333333
2008-04-01,91.9548775806069,7.83333333333333
2008-07-01,92.6079220274086,7.63333333333333
2008-10-01,92.0792669990453,7.63333333333333
2009-01-01,92.0170722898261,7.93333333333333
2009-04-01,92.2036564174837,8.26666666666667
2009-07-01,92.3902405451414,8.23333333333333
2009-10-01,92.4524352543606,8.1
2010-01-01,92.7634088004566,8
2010-04-01,93.2298691196008,7.73333333333333
2010-07-01,93.4164532472584,7.56666666666667
2010-10-01,93.7274267933544,7.4
2011-01-01,94.5048606585946,7.3
2011-04-01,95.0957103961772,7.06666666666667
2011-07-01,95.4688786514924,6.96666666666667
2011-10-01,95.8109495521981,6.83333333333333
2012-01-01,96.5261887082191,6.8
2012-04-01,96.8682596089247,6.83333333333333
2012-07-01,97.396914637288,6.8
2012-10-01,97.7389855379937,6.83333333333333
2013-01-01,98.0188617294802,6.9
2013-04-01,98.3298352755762,6.9
2013-07-01,98.982879722378,6.8
2013-10-01,99.0450744315972,6.83333333333333
2014-01-01,99.2005612046452,6.8
2014-04-01,99.3871453323029,6.7
2014-07-01,99.8225082968374,6.7
2014-10-01,99.5426321053509,6.56666666666667
2015-01-01,99.1498583097183,6.5
2015-04-01,100.350058343057,6.43333333333333
2015-07-01,100.550091681947,6.33333333333333
2015-10-01,99.9499916652776,6.3
2016-01-01,99.449908318053,6.2
2016-04-01,100.483413902317,6.13333333333333
2016-07-01,101.050175029172,6.03333333333333
2016-10-01,100.983497249542,6
2017-01-01,101.083513918987,5.86666666666667
2017-04-01,101.916986164361,5.73333333333333
2017-07-01,102.617102850475,5.63333333333333
2017-10-01,102.417069511585,5.53333333333333
2018-01-01,102.417069511585,5.36666666666667
2018-04-01,103.683947324554,5.23333333333333
2018-07-01,104.550758459743,5.13333333333333
2018-10-01,104.450741790298,5.06666666666667
2019-01-01,103.817302883814,4.96666666666667
2019-04-01,105.450908484747,4.96666666666667
2019-07-01,106.084347391232,5
2019-10-01,105.750958493082,5
2020-01-01,105.517586264377,5
2020-04-01,106.251041840307,6.13333333333333
2020-07-01,105.984330721787,6.33333333333333
2020-10-01,105.484247374562,6.16666666666667
2021-01-01,106.951158526421,6
2021-04-01,108.684780796799,5.9
